"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"NIOZ140.120",4529,9290.0875331565,261.973675076476,10785.990227,70.2995005928841,6.29284075281818,0.993774549503952,160.630945605437,1256.11359458489
"NIOZ140.98",1527,3977.14070351759,238.315581968181,4649.89506776424,46.2137370937933,6.12787151279326,0.994526066542281,182.683989077343,607.62986873891
"NIOZ140.75",1931,3276.78309859155,117.678637397038,3434.98993934653,35.7496609837055,3.37869216956445,0.887525422160685,8.8908980074469,433.947391110179
"NIOZ140.119",953,2291.26470588235,180.133727001887,2439.92356617078,32.3924967327043,5.06099387617131,0.986698410490483,75.1789851344103,208.938867859146
"NIOZ140.70",2272,3696.50738916256,118.156104657164,3825.94643772799,36.9850634500583,3.49340806977233,0.869677039587661,7.67324496647422,476.970253980671
"NIOZ140.88",1160,2332.83177570093,123.862379481412,2620.13661738782,33.6573144288816,3.27075610219711,0.868752024685101,7.61916515360126,320.331609522976
"NIOZ140.76",497,1284.92424242424,133.280908247306,1441.881875,25.3219865606739,3.87551574750737,0.931839699192015,14.6712967540609,151.905764867639
"NIOZ140.79",2570,4060.70481927711,115.073281938852,4340.46591586977,39.5922136086583,3.53289313366843,0.874445855923685,7.96469130793623,545.896545077003
"NIOZ140.68",880,1692.80405405405,103.148132656516,1836.4972621421,28.0851106259423,2.64948410165947,0.742427643530437,3.8824042055855,195.485371255088
"NIOZ140.84",1333,2903.0303030303,162.693766093115,3065.05711615057,37.5685384019673,3.60528421716363,0.885879604035368,8.76267551954443,311.658005566362
"NIOZ140.113",1005,2147.37162162162,137.422738808963,2170.52695665659,29.7476292765316,3.86830051483551,0.944526309441746,18.026563402157,230.816917146183
"NIOZ140.81",1621,3077.32042253521,135.020813653295,3344.05396326345,38.6361512236812,3.87529344931196,0.867528741736887,7.54880728930506,444.722213080841
"NIOZ140.74",2457,4746.63194444444,171.205022204441,5349.07189700667,50.0670758213343,4.79491218769596,0.950571718908734,20.2313327091744,714.398090990398
"NIOZ140.121",1598,3087.25409836066,144.755724145155,3343.76964906754,38.1724247527489,5.37125214346982,0.987971396527339,83.1351704520703,397.709899996054
"NIOZ140.97",1747,3469.12,152.48208401144,3987.25075384116,42.1657492433999,4.95210516122902,0.966432781967677,29.7909704354128,469.562848439128
"NIOZ140.78",1240,2523.05555555556,133.116120413198,3003.89922605147,37.414389491456,5.16166469208477,0.97316476297364,37.2644370168113,433.124292300191
"NIOZ140.87",344,1049.56756756757,150.100058729129,1158.05734508534,21.8099104127197,3.93047195916744,0.952863498340513,21.2149812734082,99.0455069989723
"NIOZ140.65",510,1414.31818181818,150.295801993681,1648.01591715154,26.8999863828269,3.7802400735846,0.905422633195087,10.5733542155252,161.852335805509
"NIOZ140.89",477,1446.70588235294,176.137518359254,1523.10619377771,25.3566957765561,4.1911268546146,0.962019402168345,26.3292327422651,139.622854532528
"NIOZ140.92",601,1646.01204819277,156.665507875965,1864.84074894941,26.2989517096125,4.17234896858453,0.932318629117835,14.7751144364529,215.006340155307
"NIOZ140.72",1604,3222.07913669065,148.489981553717,3456.52500152491,39.4471523270741,3.3616595741114,0.847364792594585,6.55156838974834,447.990247181441
"NIOZ140.69",1463,2984.15969581749,143.662910632982,3401.38027568403,39.4643733454379,4.11769163452465,0.917305897054402,12.0927607214975,428.799034579127
"NIOZ140.83",1033,2311.17948717949,148.459588885074,2442.29293532595,32.318492773935,4.73500800598734,0.945684698625964,18.4110181606767,380.08958740241
"NIOZ140.77",603,1319.73267326733,105.640647875087,1522.04916028137,25.2293233348488,4.65377352193637,0.969612696523183,32.9084810293519,213.373952377961
"NIOZ140.108",380,775.013888888889,71.7947045013286,935.28688786689,21.8855881808718,5.44225153057273,0.991638321995465,119.593220338983,267.427228866675
"NIOZ140.123",14842,25431.8127600555,326.895528617562,28784.5323332034,110.73132876103,7.22163558369113,0.990784343310519,108.510986649641,4600.53702822588
"NIOZ140.14",12231,13369.1953642384,56.5841243602492,14412.908146171,55.7274651882721,7.98410202195601,0.998740354157483,793.873933645889,3750.06978172463
"NIOZ140.82",4228,6552.35416666667,147.081743670246,6787.00360049844,46.825746939795,3.48106245674744,0.814820483387447,5.40016530063786,851.219481107466
"NIOZ140.71",6466,8244.448,98.9905289668132,8921.53167528387,51.3024826089763,3.54899015431001,0.868135951581261,7.58356816730264,1129.37172879555
